CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURUSD27-MAY-2021,1.21,1.2118,1.2120,1.2079,1.2085,1.2085,-0.35,2153,310,310,375062.8000000
FUTCUREURUSD24-FEB-2022,1.22,0.0000,0.0000,0.0000,1.2245,1.2164,-0.37,0,0,0,0.0000000
FUTCUREURUSD28-JUN-2021,1.21,0.0000,0.0000,0.0000,1.1293,1.2100,-0.38,0,0,0,0.0000000
FUTCUREURUSD29-MAR-2022,1.22,0.0000,0.0000,0.0000,1.1904,1.2172,-0.38,0,0,0,0.0000000
FUTCUREURUSD28-JUL-2021,1.22,0.0000,0.0000,0.0000,1.1828,1.2108,-0.38,0,0,0,0.0000000
FUTCUREURUSD27-JAN-2022,1.22,0.0000,0.0000,0.0000,1.2256,1.2157,-0.37,0,0,0,0.0000000
FUTCUREURUSD28-SEP-2021,1.22,0.0000,0.0000,0.0000,1.1727,1.2124,-0.37,0,0,0,0.0000000
FUTCUREURUSD26-NOV-2021,1.22,0.0000,0.0000,0.0000,1.1973,1.2139,-0.39,0,0,0,0.0000000
FUTCUREURUSD27-AUG-2021,1.22,0.0000,0.0000,0.0000,1.1906,1.2115,-0.38,0,0,0,0.0000000
FUTCUREURUSD29-DEC-2021,1.22,0.0000,0.0000,0.0000,1.2301,1.2149,-0.38,0,0,0,0.0000000
FUTCUREURUSD27-OCT-2021,1.22,0.0000,0.0000,0.0000,1.1922,1.2131,-0.37,0,0,0,0.0000000
FUTCUREURUSD27-APR-2022,1.22,0.0000,0.0000,0.0000,1.2173,1.2180,-0.37,0,0,0,0.0000000
FUTCURGBPUSD27-OCT-2021,1.40,0.0000,0.0000,0.0000,1.3085,1.3924,-0.24,0,0,0,0.0000000
FUTCURGBPUSD28-JUN-2021,1.40,0.0000,0.0000,0.0000,1.2449,1.3919,-0.24,0,0,0,0.0000000
FUTCURGBPUSD27-JAN-2022,1.40,0.0000,0.0000,0.0000,1.3720,1.3928,-0.25,0,0,0,0.0000000
FUTCURGBPUSD26-NOV-2021,1.40,0.0000,0.0000,0.0000,1.3373,1.3925,-0.25,0,0,0,0.0000000
FUTCURGBPUSD28-SEP-2021,1.40,0.0000,0.0000,0.0000,1.2742,1.3923,-0.24,0,0,0,0.0000000
FUTCURGBPUSD27-AUG-2021,1.40,0.0000,0.0000,0.0000,1.3181,1.3921,-0.24,0,0,0,0.0000000
FUTCURGBPUSD28-JUL-2021,1.40,0.0000,0.0000,0.0000,1.2905,1.3920,-0.24,0,0,0,0.0000000
FUTCURGBPUSD27-APR-2022,1.40,0.0000,0.0000,0.0000,1.3926,1.3932,-0.25,0,0,0,0.0000000
FUTCURGBPUSD27-MAY-2021,1.39,1.3942,1.3948,1.3900,1.3906,1.3906,-0.26,1311,844,844,1174363.5000000
FUTCURGBPUSD29-MAR-2022,1.40,0.0000,0.0000,0.0000,1.3730,1.3931,-0.24,0,0,0,0.0000000
FUTCURGBPUSD24-FEB-2022,1.40,0.0000,0.0000,0.0000,1.4105,1.3930,-0.24,0,0,0,0.0000000
FUTCURGBPUSD29-DEC-2021,1.40,0.0000,0.0000,0.0000,1.3507,1.3927,-0.24,0,0,0,0.0000000
FUTCURJPYINR04-JUN-2021,68.41,0.0000,0.0000,0.0000,67.9550,68.4075,-0.01,0,0,0,0.0000000
FUTCURJPYINR11-JUN-2021,68.48,0.0000,0.0000,0.0000,67.4000,68.4800,0.00,0,0,0,0.0000000
FUTCURJPYINR14-MAY-2021,68.21,0.0000,0.0000,0.0000,69.6875,68.2050,-0.01,0,0,0,0.0000000
FUTCURJPYINR25-JUN-2021,68.62,0.0000,0.0000,0.0000,68.9875,68.6200,0.00,0,0,0,0.0000000
FUTCURJPYINR27-JAN-2022,70.69,0.0000,0.0000,0.0000,73.9125,70.6850,0.00,0,0,0,0.0000000
FUTCURJPYINR09-JUL-2021,68.77,0.0000,0.0000,0.0000,70.2575,68.7525,-0.02,0,0,0,0.0000000
FUTCURJPYINR21-MAY-2021,68.29,0.0000,0.0000,0.0000,69.3150,68.2800,-0.01,0,0,0,0.0000000
FUTCURJPYINR28-JUL-2021,68.82,68.9950,68.9950,68.8025,68.9050,68.9050,0.13,358,225,225,15502877.5000000
FUTCURJPYINR28-JUN-2021,68.62,68.7025,68.7300,68.5300,68.6650,68.6650,0.07,2873,1423,1423,97663612.5000000
FUTCURJPYINR18-JUN-2021,68.55,0.0000,0.0000,0.0000,67.5225,68.5500,0.00,0,0,0,0.0000000
FUTCURJPYINR27-AUG-2021,69.26,0.0000,0.0000,0.0000,69.3200,69.2425,-0.03,10,0,0,0.0000000
FUTCURJPYINR28-SEP-2021,69.54,0.0000,0.0000,0.0000,73.1575,69.5275,-0.01,0,0,0,0.0000000
FUTCURJPYINR16-JUL-2021,0.00,0.0000,0.0000,0.0000,68.8375,68.8225,0.00,0,0,0,0.0000000
FUTCURJPYINR02-JUL-2021,68.70,0.0000,0.0000,0.0000,69.7050,68.6825,-0.02,0,0,0,0.0000000
FUTCURJPYINR27-MAY-2021,68.32,68.3400,68.4500,68.2325,68.3750,68.3750,0.09,15970,29452,29452,2012543267.5000000
FUTCURJPYINR29-MAR-2022,71.29,0.0000,0.0000,0.0000,70.5400,71.2875,0.00,0,0,0,0.0000000
FUTCURJPYINR28-MAY-2021,68.34,68.4275,68.4325,68.2300,68.3425,68.3425,0.01,281,98,98,6694522.5000000
FUTCURJPYINR27-APR-2022,71.58,0.0000,0.0000,0.0000,72.3700,71.5750,0.00,0,0,0,0.0000000
FUTCURJPYINR26-NOV-2021,70.08,0.0000,0.0000,0.0000,74.2625,70.1100,0.04,0,0,0,0.0000000
FUTCURJPYINR07-MAY-2021,68.29,68.2850,68.2850,68.1250,68.1950,68.1950,-0.13,29,44,44,2999957.5000000
FUTCURJPYINR29-DEC-2021,70.40,0.0000,0.0000,0.0000,74.3175,70.4000,0.00,0,0,0,0.0000000
FUTCURJPYINR24-FEB-2022,70.96,0.0000,0.0000,0.0000,72.7650,70.9600,0.00,0,0,0,0.0000000
FUTCURJPYINR27-OCT-2021,69.82,0.0000,0.0000,0.0000,73.7700,69.8125,-0.01,0,0,0,0.0000000
FUTCURJPYINR30-APR-2021,68.01,68.0500,68.1200,67.9650,68.0350,68.0200,0.01,322,477,477,32452505.0000000
FUTCURUSDJPY27-MAY-2021,108.81,108.8100,108.9000,108.7300,108.7600,108.7600,-0.05,208,33,33,3592080.0000000
