CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURJPYINR21-MAY-2021PE65.25,0.0250000,0.0000,0.0000,0.0000,0.1550,0.0225,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR16-JUL-2021PE65.25,0.0000000,0.0000,0.0000,0.0000,0.2125,0.2075,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR25-JUN-2021PE65.25,0.1450000,0.0000,0.0000,0.0000,0.1875,0.1400,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR04-JUN-2021CE65.25,3.2175000,0.0000,0.0000,0.0000,3.0325,3.2075,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR29-DEC-2021CE65.25,5.5400000,0.0000,0.0000,0.0000,9.0200,5.5325,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR30-APR-2021PE65.25,0.0000000,0.0000,0.0000,0.0000,0.0900,68.0200,0.00,0,0,0,68.02,0.0000000,0.0000000
OPTCURJPYINR28-JUL-2021PE65.25,0.2475000,0.0000,0.0000,0.0000,0.1550,0.2425,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR14-MAY-2021PE65.5,0.0150000,0.0000,0.0000,0.0000,0.1500,0.0125,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR09-JUL-2021PE65.5,0.2250000,0.0000,0.0000,0.0000,0.1050,0.2200,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-JUN-2021PE65.5,0.1850000,0.0000,0.0000,0.0000,0.7525,0.1800,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR29-MAR-2022CE65.5,6.2300000,0.0000,0.0000,0.0000,5.6075,6.2225,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-JUL-2021CE65.5,3.6975000,0.0000,0.0000,0.0000,4.4550,3.6775,0.02,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR11-JUN-2021CE65.5,3.0850000,0.0000,0.0000,0.0000,2.4175,3.0750,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-SEP-2021PE65.5,0.4500000,0.0000,0.0000,0.0000,0.6525,0.4450,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-JUL-2021PE65.5,0.2850000,0.0000,0.0000,0.0000,0.1825,0.2825,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR30-APR-2021PE65.5,0.0000000,0.0000,0.0000,0.0000,0.1075,68.0200,0.00,0,0,0,68.02,0.0000000,0.0000000
OPTCURJPYINR18-JUN-2021PE65.5,0.1475000,0.0000,0.0000,0.0000,0.4725,0.1425,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR16-JUL-2021CE65.5,0.0000000,0.0000,0.0000,0.0000,3.5475,3.5275,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR11-JUN-2021PE65.5,0.1200000,0.0000,0.0000,0.0000,0.5425,0.1150,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-MAY-2021CE65.5,2.9100000,0.0000,0.0000,0.0000,3.4675,2.8975,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR04-JUN-2021PE65.5,0.0925000,0.0000,0.0000,0.0000,0.4200,0.0875,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-SEP-2021CE65.5,4.3975000,0.0000,0.0000,0.0000,7.9650,4.3850,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR04-JUN-2021CE65.5,2.9900000,0.0000,0.0000,0.0000,2.8400,2.9800,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR07-MAY-2021CE65.5,2.6375000,0.0000,0.0000,0.0000,5.0975,2.6300,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR18-JUN-2021CE65.5,3.1775000,0.0000,0.0000,0.0000,2.4700,3.1675,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR21-MAY-2021CE65.5,2.8125000,0.0000,0.0000,0.0000,3.9425,2.8025,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR02-JUL-2021PE65.5,0.2000000,0.0000,0.0000,0.0000,0.1450,0.1950,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR29-DEC-2021PE65.5,0.6100000,0.0000,0.0000,0.0000,0.3950,0.6050,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR07-MAY-2021PE65.5,0.0025000,0.0000,0.0000,0.0000,0.0850,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR14-MAY-2021CE65.5,2.7200000,0.0000,0.0000,0.0000,4.2750,2.7100,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-MAY-2021PE65.5,0.0625000,0.0000,0.0000,0.0000,0.2800,0.0600,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR29-MAR-2022PE65.5,0.7050000,0.0000,0.0000,0.0000,0.8500,0.7000,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR25-JUN-2021CE65.5,3.2700000,0.0000,0.0000,0.0000,3.6700,3.2625,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR30-APR-2021CE65.5,2.5650000,0.0000,0.0000,0.0000,4.7900,68.0200,65.46,0,0,0,68.02,0.0000000,0.0000000
OPTCURJPYINR25-JUN-2021PE65.5,0.1750000,0.0000,0.0000,0.0000,0.2200,0.1700,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR09-JUL-2021CE65.5,3.4550000,0.0000,0.0000,0.0000,4.8100,3.4375,0.02,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-JUN-2021CE65.5,3.3100000,0.0000,0.0000,0.0000,8.5800,3.3025,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR29-DEC-2021CE65.5,5.3475000,0.0000,0.0000,0.0000,8.8100,5.3400,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR27-MAY-2021CE65.5,2.8950000,0.0000,0.0000,0.0000,4.5475,2.8850,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR02-JUL-2021CE65.5,3.3650000,0.0000,0.0000,0.0000,4.3050,3.3475,0.02,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR11-JUN-2021CE63,5.4575000,0.0000,0.0000,0.0000,4.4575,5.4525,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR21-MAY-2021PE63,0.0025000,0.0000,0.0000,0.0000,0.0275,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-SEP-2021CE63,6.5300000,0.0000,0.0000,0.0000,9.1750,6.5200,0.01,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR30-APR-2021CE63,5.0650000,0.0000,0.0000,0.0000,6.8850,68.0200,62.96,0,0,0,68.02,0.0000000,0.0000000
OPTCURJPYINR29-MAR-2022CE63,8.2325000,0.0000,0.0000,0.0000,7.5225,8.2300,0.00,0,0,0,,0.0000000,0.0000000
OPTCURJPYINR28-MAY-2021PE63,0.0025000,0.0000,0.0000,0.0000,0.0500,0.0025,0.00,0,0,0,,0.0000000,0.0000000
