Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Volume(Lots),Volume(In 000's)
04/30/2021,FUTCOM,ALUMINIUM    ,30APR2021,-,0,195.5,197,195,198,197.25,4
04/30/2021,FUTCOM,ALUMINIUM    ,31MAY2021,-,0,194.1,195.3,192.05,193.7,193.35,3719
04/30/2021,FUTCOM,ALUMINIUM    ,30JUN2021,-,0,194,195,192,193.7,193.35,85
04/30/2021,FUTCOM,ALUMINIUM    ,30JUL2021,-,0,0,0,0,193.7,185.8,0
04/30/2021,FUTCOM,ALUMINIUM    ,31AUG2021,-,0,0,0,0,193.7,181.75,0
04/30/2021,FUTCOM,CARDAMOM     ,14MAY2021,-,0,0,0,0,1450,1450,0
04/30/2021,FUTCOM,CARDAMOM     ,15JUN2021,-,0,0,0,0,1650,1650,0
04/30/2021,FUTCOM,CARDAMOM     ,15JUL2021,-,0,0,0,0,1450,1450,0
04/30/2021,FUTCOM,CARDAMOM     ,13AUG2021,-,0,0,0,0,1450,1450,0
04/30/2021,FUTCOM,COPPER       ,30APR2021,-,0,753.35,755.7,750.4,766.95,757.9,14
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,585,0,0,0,171.59,171.59,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,795,0,0,0,2.96,2.96,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,665,0,0,0,91.79,91.79,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,710,0,0,0,48.33,48.33,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,605,0,0,0,151.63,151.63,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,670,0,0,0,86.83,86.83,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,730,0,0,0,31.51,31.51,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,765,0,0,0,10.87,10.87,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,640,0,0,0,116.71,116.71,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,675,0,0,0,81.87,81.87,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,735,0,0,0,27.8,27.8,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,770,0,0,0,8.98,8.98,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,610,0,0,0,146.64,146.64,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,660,0,0,0,96.77,96.77,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,700,0,0,0,57.58,57.58,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,750,0,0,0,18.12,18.12,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,575,0,0,0,181.57,181.57,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,635,0,0,0,121.7,121.7,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,620,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,645,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,685,0,0,0,0.23,0.23,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,780,0,0,0,28.95,28.95,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,580,0,0,0,176.58,176.58,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,705,0,0,0,52.91,52.91,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,600,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,725,0,0,0,3.57,3.57,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,760,17,17,17,17,16.06,1
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,680,0,0,0,0.15,0.15,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,740,0,0,0,7.4,7.4,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,775,0,0,0,25.36,25.36,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,560,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,615,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,620,0,0,0,136.66,136.66,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,780,5,5,5,5,5.95,1
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,645,0,0,0,111.72,111.72,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,685,0,0,0,72.03,72.03,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,585,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,795,0,0,0,40.93,40.93,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,665,0,0,0,0.04,0.04,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,710,0,0,0,1.48,1.48,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,565,0,0,0,191.55,191.55,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,625,0,0,0,131.67,131.67,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,785,0,0,0,4.77,4.77,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,650,0,0,0,106.73,106.73,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,690,0,0,0,67.16,67.16,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,605,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,670,0,0,0,0.06,0.06,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,730,0,0,0,4.62,4.62,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,765,0,0,0,18.9,18.9,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,595,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,555,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,720,0,0,0,2.71,2.71,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,655,0,0,0,101.75,101.75,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,695,0,0,0,62.34,62.34,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,745,0,0,0,21.08,21.08,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,790,0,0,0,3.78,3.78,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,570,0,0,0,186.56,186.56,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,630,0,0,0,126.68,126.68,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,660,0,0,0,0.02,0.02,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,700,0,0,0,0.75,0.75,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,750,0,0,0,11.19,11.19,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,575,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,635,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,565,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,625,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,650,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,690,0,0,0,0.35,0.35,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,785,0,0,0,32.76,32.76,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,715,0,0,0,43.88,43.88,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,755,0,0,0,15.43,15.43,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,800,0,0,0,2.3,2.3,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,590,0,0,0,166.6,166.6,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,655,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,695,0,0,0,0.52,0.52,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,745,0,0,0,9.16,9.16,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,790,0,0,0,36.76,36.76,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,570,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,630,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,595,0,0,0,161.61,161.61,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,555,0,0,0,201.53,201.53,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,720,0,0,0,39.58,39.58,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,640,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,675,0,0,0,0.1,0.1,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,735,0,0,0,5.89,5.89,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,770,0,0,0,22.01,22.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,610,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,715,0,0,0,2.02,2.02,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,755,0,0,0,13.48,13.48,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,800,0,0,0,45.26,45.26,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,590,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,580,0,0,0,0.01,0.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,PE,705,0,0,0,1.07,1.07,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,680,0,0,0,76.94,76.94,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,740,0,0,0,24.31,24.31,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,775,0,0,0,7.35,7.35,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,615,0,0,0,141.65,141.65,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,725,0,0,0,35.45,35.45,0
