CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCURUSDJPY28-JUN-2021,107.77,0.0000,0.0000,0.0000,106.8100,107.7600,-0.01,0,0,0,0.0000000
FUTCURUSDJPY27-OCT-2021,107.68,0.0000,0.0000,0.0000,104.5500,107.6700,-0.01,0,0,0,0.0000000
FUTCURUSDJPY26-NOV-2021,107.68,0.0000,0.0000,0.0000,104.0700,107.6600,-0.02,0,0,0,0.0000000
FUTCURUSDJPY24-FEB-2022,107.62,0.0000,0.0000,0.0000,105.0500,107.6000,-0.02,0,0,0,0.0000000
FUTCURUSDJPY28-JUL-2021,107.75,0.0000,0.0000,0.0000,104.7500,107.7300,-0.02,0,0,0,0.0000000
FUTCURUSDJPY29-MAR-2022,107.59,0.0000,0.0000,0.0000,108.8300,107.5700,-0.02,0,0,0,0.0000000
FUTCURUSDJPY28-SEP-2021,107.70,0.0000,0.0000,0.0000,105.1500,107.6900,-0.01,0,0,0,0.0000000
FUTCURUSDJPY27-MAY-2021,107.88,107.9500,107.9500,107.6200,107.8200,107.8200,-0.06,12,6,6,646700.0000000
FUTCURUSDJPY29-DEC-2021,107.65,0.0000,0.0000,0.0000,103.3700,107.6400,-0.01,0,0,0,0.0000000
FUTCURUSDJPY28-APR-2021,107.91,107.7500,107.8500,107.7100,107.8500,107.8500,-0.06,64,18,18,1939560.0000000
FUTCURUSDJPY27-AUG-2021,107.73,0.0000,0.0000,0.0000,105.8800,107.7100,-0.02,0,0,0,0.0000000
FUTCURUSDJPY27-JAN-2022,107.63,0.0000,0.0000,0.0000,103.5500,107.6200,-0.01,0,0,0,0.0000000
FUTCURGBPINR28-MAY-2021,104.49,104.0800,104.4975,104.0800,104.2225,104.2225,-0.25,4275,2060,2060,214935100.0000000
FUTCURGBPINR09-JUL-2021,105.28,0.0000,0.0000,0.0000,105.5100,104.9950,-0.27,0,0,0,0.0000000
FUTCURGBPINR02-JUL-2021,105.19,0.0000,0.0000,0.0000,104.4725,104.8925,-0.28,0,0,0,0.0000000
FUTCURGBPINR27-MAY-2021,104.56,104.6175,104.6200,104.2200,104.2825,104.2825,-0.27,138799,84269,84269,8797026200.0000000
FUTCURGBPINR14-MAY-2021,104.42,104.2975,104.3200,104.0875,104.0900,104.0900,-0.32,64,56,56,5837585.0000000
FUTCURGBPINR27-AUG-2021,105.59,105.2950,105.5900,105.2125,105.3675,105.3675,-0.21,1145,45,45,4742352.5000000
FUTCURGBPINR28-APR-2021,104.17,104.0475,104.1825,103.8200,103.8850,103.8850,-0.28,132048,245947,245947,25578280425.0000000
FUTCURGBPINR28-JUN-2021,104.98,105.1500,105.1500,104.6425,104.7050,104.7050,-0.26,47673,11833,11833,1240118562.5000000
FUTCURGBPINR27-JAN-2022,108.06,0.0000,0.0000,0.0000,104.9975,107.7925,-0.25,0,0,0,0.0000000
FUTCURGBPINR21-MAY-2021,104.35,104.4450,104.4925,104.1675,104.1675,104.1675,-0.18,106,38,38,3962410.0000000
FUTCURGBPINR24-FEB-2022,108.46,0.0000,0.0000,0.0000,107.8175,108.1925,-0.24,0,0,0,0.0000000
FUTCURGBPINR18-JUN-2021,105.00,0.0000,0.0000,0.0000,102.4475,104.7025,-0.28,0,0,0,0.0000000
FUTCURGBPINR25-JUN-2021,105.09,0.0000,0.0000,0.0000,103.6225,104.8050,-0.27,0,0,0,0.0000000
FUTCURGBPINR04-JUN-2021,104.81,0.0000,0.0000,0.0000,104.0000,104.4975,-0.29,1,0,0,0.0000000
FUTCURGBPINR29-DEC-2021,107.66,0.0000,0.0000,0.0000,103.7700,107.3800,-0.26,0,0,0,0.0000000
FUTCURGBPINR30-APR-2021,104.11,103.9225,104.1200,103.7800,103.8450,103.8450,-0.26,4840,5117,5117,531823270.0000000
FUTCURGBPINR27-OCT-2021,106.79,0.0000,0.0000,0.0000,100.9200,106.5000,-0.27,0,0,0,0.0000000
FUTCURGBPINR07-MAY-2021,104.43,103.9325,104.3000,103.9325,103.9550,103.9550,-0.46,197,126,126,13120505.0000000
FUTCURGBPINR11-JUN-2021,104.90,0.0000,0.0000,0.0000,102.6600,104.6000,-0.29,0,0,0,0.0000000
FUTCURGBPINR29-MAR-2022,108.92,0.0000,0.0000,0.0000,105.3950,108.6675,-0.23,0,0,0,0.0000000
FUTCURGBPINR28-SEP-2021,105.95,105.5500,105.5500,105.5500,105.5500,105.5500,-0.38,95,1,1,105550.0000000
FUTCURGBPINR28-JUL-2021,105.32,105.0675,105.2850,104.9575,105.0425,105.0425,-0.26,6743,875,875,91945732.5000000
FUTCURGBPINR26-NOV-2021,107.20,0.0000,0.0000,0.0000,103.3450,106.9125,-0.27,0,0,0,0.0000000
FUTCUREURINR18-JUN-2021,91.26,0.0000,0.0000,0.0000,87.5325,91.1600,-0.11,0,0,0,0.0000000
FUTCUREURINR27-MAY-2021,90.82,90.8500,91.0950,90.7350,90.7550,90.7550,-0.07,86995,47660,47660,4331524372.5000000
FUTCUREURINR24-FEB-2022,94.69,0.0000,0.0000,0.0000,93.5925,94.6250,-0.07,0,0,0,0.0000000
FUTCUREURINR07-MAY-2021,90.69,0.0000,0.0000,0.0000,86.6000,90.5625,-0.14,0,0,0,0.0000000
FUTCUREURINR21-MAY-2021,90.88,90.3400,90.3400,90.3400,90.3400,90.7675,-0.12,3,1,1,90340.0000000
FUTCUREURINR26-NOV-2021,93.44,0.0000,0.0000,0.0000,92.4900,93.3550,-0.09,30,0,0,0.0000000
FUTCUREURINR14-MAY-2021,90.78,0.0000,0.0000,0.0000,87.2200,90.6650,-0.13,1,0,0,0.0000000
FUTCUREURINR27-AUG-2021,91.84,91.9800,92.0000,91.7250,91.7250,91.7250,-0.13,970,118,118,10834852.5000000
