CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDJPY28-SEP-2021CE107.5,3.1800000,0.0000,0.0000,0.0000,2.8300,3.2800,0.10,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY26-MAR-2021CE107.5,1.4700000,0.0000,0.0000,0.0000,9.9000,1.5900,0.12,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY28-JUN-2021CE107.5,2.5300000,0.0000,0.0000,0.0000,3.8400,2.6300,0.10,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY29-DEC-2021CE107.5,3.6900000,0.0000,0.0000,0.0000,1.9500,3.7900,0.10,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY27-MAY-2021PE107.5,1.1600000,0.0000,0.0000,0.0000,3.1300,1.0800,0.08,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY28-APR-2021PE107.5,0.8300000,0.0000,0.0000,0.0000,4.2500,0.7500,0.08,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY26-MAR-2021PE107.5,0.3300000,0.0000,0.0000,0.0000,8.7900,0.2600,0.07,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY28-JUN-2021PE107.5,1.4700000,0.0000,0.0000,0.0000,4.5400,1.3900,0.08,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY28-SEP-2021PE107.5,2.1800000,0.0000,0.0000,0.0000,5.2000,2.0900,0.09,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY29-DEC-2021PE107.5,2.7400000,0.0000,0.0000,0.0000,6.0900,2.6500,0.09,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY28-APR-2021PE108,1.0300000,0.0000,0.0000,0.0000,4.6600,0.9400,0.09,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY29-DEC-2021PE108,2.9800000,0.0000,0.0000,0.0000,6.4500,2.8900,0.09,0,0,0,,0.0000000,0.0000000
OPTCURUSDJPY28-SEP-2021PE108,2.4100000,0.0000,0.0000,0.0000,5.5100,2.3200,0.09,0,0,0,,0.0000000,0.0000000
