SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1329.25,1333,1314,1316.05,1314,1318.4,199,800,1057155,
500003,AEGIS LOGIS ,A ,Q,189.9,189.9,182.05,183.4,183,186.05,564,10230,1899725,
500008,AMAR RAJA BA,A ,Q,630,630,617.2,620.7,622.75,622.2,328,10706,6658915,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
500074,BPL LTD.    ,B ,Q,15.55,17.2,15.45,16.7,16.6,15.4,194,11364,188836,
500078,OAL         ,B ,Q,183,183.05,183,183.05,183,180.55,5,94,17204,
500083,CENTURY EXT ,B ,Q,2.85,2.85,2.6,2.6,2.6,2.75,11,1804,4771,
500084,CESC LTD.   ,A ,Q,764.1,767.9,757.4,764.3,762.5,754.3,134,1738,1324950,
500085,CHAMBAL FERT,A ,Q,159,164.5,159,161.65,161.65,157.25,562,16147,2604703,
500086,EXIDE IND.  ,A ,Q,175,178.5,173.8,178,178,173.1,747,44229,7816502,
500087,CIPLA LTD.  ,A ,Q,471,479.4,470.75,478.35,478.35,471.15,711,35367,16824143,
500089,DIC INDIA   ,B ,Q,309,325,309,321.7,312.25,298.8,21,1025,329126,
500092,CRISIL LTD  ,A ,Q,1282,1294.2,1255.05,1269,1265.1,1290.2,249,1365,1729556,
500093,CGPOWER     ,A ,Q,12.03,12.03,12.03,12.03,12.03,11.46,31,7958,95734,
500096,DABUR (I)   ,A ,Q,443,445.35,437.45,439.05,438,442.15,490,24931,11000538,
500097,DALMIASUG   ,B ,Q,78.45,78.45,74.6,75.5,75.45,76.5,111,3878,293607,
500101,ARVIND Ltd  ,A ,Q,46.95,50.65,46.75,49.4,49.4,46.6,2350,1056481,52116261,
500102,BALARPUR IND,B ,Q,0.64,0.67,0.64,0.64,0.64,0.67,49,181275,116116,
500103,BHEL        ,A ,Q,50.25,52.45,50.25,51.15,51.15,50.05,3318,1759297,90562407,
500104,HIND.PETRO  ,A ,Q,256.8,274.9,255.4,264.85,264.85,257.05,5719,499518,133277463,
500106,IFCI LTD    ,A ,Q,7.05,7.36,7.05,7.11,7.11,7.02,237,98067,702601,
500108,MAHA.TELE   ,B ,Q,5.37,5.6,5.29,5.54,5.57,5.37,170,131554,718281,
500109,MRPL        ,A ,Q,46.95,49.6,45.6,46.75,46.45,45.25,930,97762,4692356,
500110,CHENNAI PET.,A ,Q,187.9,197.35,187.9,189.45,188.4,186.2,869,16040,3088708,
500111,REL.CAP.    ,A ,Q,34.2,35.6,33.2,35.1,35.1,34.15,5605,3073853,105866020,
500112,STATE BANK  ,A ,Q,275.4,276.3,271.15,273.15,273.15,274.95,6977,1163219,317968778,
500113,STEEL AUTH. ,A ,Q,32.8,33.25,32.1,32.45,32.45,32.25,2182,1972582,64455040,
500114,TITAN       ,A ,Q,1039.8,1053.05,1036.8,1048.7,1048.7,1037.5,3032,100615,105239157,
500116,IDBI BANK L ,A ,Q,27.5,27.85,26.35,27.25,27.25,27.05,1783,945777,25578856,
500117,DCW LTD.    ,B ,Q,15.6,16.1,15.35,15.45,15.4,15.6,72,20401,319781,
500119,DHAMPUR SUGA,B ,Q,146.75,149.8,146.5,147.55,147.55,146.75,543,31795,4693980,
500120,DIAMINES&CHM,X ,Q,111,111.35,107.2,107.25,107.2,110,25,1049,114573,
500123,ELANTAS     ,B ,Q,2017.45,2025,1969.95,1982.35,1990,2014.65,77,896,1793085,
500124,DR.REDDY'S  ,A ,Q,2620,2691.85,2620,2681.45,2681.45,2601.7,2589,23970,63932292,
500125,E.I.D.PAR   ,A ,Q,148.3,149.5,148,148.45,148.5,148.65,241,26111,3873472,
500126,PGHL        ,A ,Q,4046,4136.1,4029,4043.35,4043.35,4040.05,230,610,2476563,
500128,ELEC.CASTING,B ,Q,14.64,16.84,14.64,15.79,15.76,14.6,210,33956,530871,
500133,ESAB INDIA  ,B ,Q,994.4,1008.6,994.4,1007,1007,1001.65,9,121,121244,
500135,ESSEL PROP  ,B ,Q,103.75,105.15,102.05,103.5,103.6,105.05,98,2808,291582,
500136,ESTER INDUS.,B ,Q,33.7,33.7,32.15,32.95,32.95,31.95,287,6857,223467,
500141,FERRO ALLOYS,X ,Q,2.9,2.98,2.75,2.87,2.88,2.88,31,13060,37734,
500143,P.H.CAPITAL ,X ,Q,15.05,15.05,15.05,15.05,15.05,14.37,2,84,1264,
500144,FINOL. CABLE,A ,Q,365.95,367.9,364.5,366.5,366.5,363.35,191,1587,580819,XD
500147,CMI FPE     ,X ,Q,772.05,798,772.05,775,774,796.85,8,96,75024,
500148,UFLEX LTD   ,A ,Q,203.25,208.2,202,204.15,203,205.25,1781,21552,4427677,
500150,FOSECO INDIA,B ,Q,1230,1230,1200.05,1226.75,1230,1205.7,50,102,125129,
500151,GOLDEN TOB  ,B ,Q,28.3,30,28.3,29.8,30,29.5,10,720,21248,
500153,GANESH BENZO,X ,Q,30.05,30.65,29.15,30.05,30.3,29.65,114,33862,1015969,
500155,GARDEN SILK ,B ,Q,9.4,9.69,9.3,9.69,9.69,9.64,17,1820,17488,
500159,METROGLOBL  ,X ,Q,48,49.95,43.25,44.55,44.55,51.95,33,2919,132298,
500160,GTL LTD.    ,B ,Q,2.4,2.4,2.21,2.25,2.25,2.3,15,7388,16772,
500163,GODFREY PH  ,A ,Q,1001,1006.6,977.45,986.95,986,989.7,1240,18001,17897744,
500164,GODREJ IND  ,A ,Q,400,402.6,396.1,398.35,397.1,400.15,698,18818,7515970,
500165,KANSAI NERO ,A ,Q,465,466,459.75,462.35,462.85,463.5,237,4803,2220530,
500166,GOODRICKE   ,X ,Q,162,162,158.15,159.7,158.55,163,57,3477,554798,
500168,GOODYEAR (I),B ,Q,891.55,905.5,891.45,902.95,905.5,895.35,36,552,497281,
500170,GTN INDUS   ,B ,Q,6.2,6.2,5.55,6.2,6.2,6.05,3,1010,5937,
500171,GHCL LTD    ,A ,Q,196.3,196.4,190.55,190.95,190.85,192.9,102,2641,506239,
500173,GFLLIMITED  ,B ,Q,57.65,57.65,57.65,57.65,57.65,54.95,25,3378,194741,
500179,HCL INFOSYS ,B ,Q,8.01,8.06,7.87,7.92,7.97,7.85,188,78971,628933,
500180,HDFC BANK   ,A ,Q,2255,2272,2226.9,2234.7,2234.7,2247.55,5646,142498,320100850,
500182,HEROMOTOCO  ,A ,Q,2570,2612,2568.5,2603.8,2605.75,2566.25,921,12831,33248961,
500183,HIMACHAL FUT,A ,Q,18.55,18.65,18.4,18.45,18.45,18.45,410,90475,1674037,
500184,HSCL        ,A ,Q,77.05,78.15,74.6,74.75,74.75,76.5,971,28985,2205123,
500185,HIND.CONSTN.,A ,Q,8,8.28,7.95,8.02,8.02,8.02,266,113820,916920,
500186,HIND.OIL EXP,B ,Q,94.9,97.2,94.25,94.8,94.4,93.25,277,16149,1539349,
500187,HSIL        ,B ,Q,47.6,48.2,46.1,46.55,46.1,47.05,198,13555,639505,
500188,HINDUS.ZI   ,A ,Q,216.9,219.65,214.75,215.15,215.65,214.65,648,27946,6064680,
500189,HINDUJA VENT,B ,Q,362,362,349,357.4,357.4,359.3,46,1473,521328,
500191,HMT LTD.    ,Z ,Q,12.35,12.39,11.7,12.29,12.29,12.3,10,753,8907,
500192,PRAG BOSIMI ,XT,Q,3,3,3,3,3,3,3,1700,5100,
500193,HOTEL LEELA.,B ,Q,6.74,7.01,6.74,6.97,6.94,6.76,67,19888,136059,
500199,I.G.PETRO   ,B ,Q,139.2,145.05,136.15,137.7,136.35,137.2,236,2192,305260,
500201,IND.GLYCOLS ,B ,Q,192.5,195.55,191,191.5,191.5,192.6,275,3927,760467,
500207,INDO RAMA   ,B ,Q,30.75,33.05,29.55,30.35,30.35,30.85,191,18680,587349,
500209,INFOSYS LTD ,A ,Q,827.1,837,826.4,834.2,834.2,821.05,8205,252694,210397897,
500210,INGERSOLL   ,B ,Q,594.5,596.1,592,592.9,593.1,592.35,53,317,188372,
500211,INSILCO LTD.,X ,Q,14.26,14.69,14.1,14.39,14.24,14.97,94,8808,125656,
500213,INTER.TRAVEL,X ,Q,80,80,76.2,78.7,80,79.5,22,1050,82409,
500214,ION EXCHANGE,X ,Q,660,662.5,645,654,654,658.3,279,5622,3678905,
500215,AGRO TECH FO,B ,Q,497.95,504.1,478,486.1,504.1,483.75,171,103803,50140600,
500219,JAIN IRRIG  ,A ,Q,18.4,19.05,18.35,18.8,18.8,18.25,256,87263,1639688,
500220,JASCH INDUST,X ,Q,40.1,40.9,38.5,38.75,38.5,40.1,15,1974,77681,
500223,JCT LTD     ,X ,Q,0.86,0.94,0.86,0.88,0.88,0.89,39,56385,49820,
500227,JINDAL POLYF,B ,Q,230.8,244,229.55,239,237.3,230.8,254,3208,768546,
500228,JSWSL       ,A ,Q,217.1,222.25,213.75,216.25,216.25,214.6,3225,477529,104384588,
