"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"10 Mar 2021","FUTCOM","ALUMINIUM    ","31MAR2021","-","0.00","172.30","173.00","171.30","171.70","172.40","2688","13440.000 KGS  ","23105.57","916"
"10 Mar 2021","FUTCOM","ALUMINIUM    ","30APR2021","-","0.00","172.95","173.05","171.55","171.75","172.30","155","775.000 KGS  ","1335.69","227"
"10 Mar 2021","FUTCOM","ALUMINIUM    ","31MAY2021","-","0.00","","","","171.80","172.15","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","ALUMINIUM    ","30JUN2021","-","0.00","","","","171.85","172.05","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","ALUMINIUM    ","30JUL2021","-","0.00","","","","171.90","171.95","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","CARDAMOM     ","15MAR2021","-","0.00","","","","1500.00","1500.00","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","CARDAMOM     ","15APR2021","-","0.00","","","","1450.00","1450.00","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","CARDAMOM     ","14MAY2021","-","0.00","","","","1450.00","1450.00","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","CARDAMOM     ","15JUN2021","-","0.00","","","","1650.00","1650.00","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","CARDAMOM     ","15JUL2021","-","0.00","","","","1450.00","1450.00","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","CASTORSEED   ","19MAR2021","-","0.00","","","","4600.00","4600.00","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","545.00","","","","130.08","130.08","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","545.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","550.00","","","","125.09","125.09","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","550.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","555.00","","","","120.09","120.09","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","555.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","560.00","","","","115.11","115.11","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","560.00","","","","0.01","0.01","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","565.00","","","","110.12","110.12","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","565.00","","","","0.02","0.02","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","570.00","","","","105.14","105.14","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","570.00","","","","0.03","0.03","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","575.00","","","","100.16","100.16","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","575.00","","","","0.04","0.04","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","580.00","","","","95.19","95.19","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","580.00","","","","0.07","0.07","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","585.00","","","","90.23","90.23","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","585.00","","","","0.10","0.10","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","590.00","","","","85.29","85.29","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","590.00","","","","0.16","0.16","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","595.00","","","","80.38","80.38","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","595.00","","","","0.24","0.24","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","600.00","","","","75.50","75.50","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","600.00","","","","0.35","0.35","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","605.00","","","","70.66","70.66","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","605.00","","","","0.50","0.50","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","610.00","","","","65.87","65.87","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","610.00","","","","0.71","0.71","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","615.00","","","","61.15","61.15","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","615.00","","","","0.98","0.98","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","620.00","","","","56.52","56.52","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","620.00","","","","1.34","1.34","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","625.00","","","","51.99","51.99","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","625.00","","","","1.80","1.80","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","630.00","","","","47.57","47.57","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","630.00","","","","2.38","2.38","0","0.000 KGS  ","0.00","4"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","635.00","","","","43.30","43.30","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","635.00","","","","3.10","3.10","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","640.00","","","","39.19","39.19","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","640.00","","","","3.98","3.98","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","645.00","","","","35.25","35.25","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","645.00","","","","5.04","5.04","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","650.00","","","","31.51","31.51","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","650.00","","","","6.30","6.30","0","0.000 KGS  ","0.00","6"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","655.00","","","","27.99","27.99","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","655.00","","","","7.77","7.77","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","660.00","","","","24.69","24.69","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","660.00","","","","9.46","9.46","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","665.00","","","","21.63","21.63","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","665.00","","","","11.39","11.39","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","670.00","","","","18.81","18.81","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","670.00","","","","17.90","17.90","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","675.00","","","","16.24","16.24","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","675.00","","","","15.99","15.99","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","680.00","20.65","20.65","14.41","17.53","13.91","2","5.000 KGS  ","34.88","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","680.00","","","","18.65","18.65","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","685.00","","","","11.82","11.82","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","685.00","","","","21.56","21.56","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","690.00","","","","10.47","10.47","0","0.000 KGS  ","0.00","5"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","690.00","","","","24.70","24.70","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","695.00","","","","8.34","8.34","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","695.00","","","","28.07","28.07","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","700.00","","","","6.93","6.93","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","700.00","","","","31.64","31.64","0","0.000 KGS  ","0.00","2"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","705.00","","","","5.70","5.70","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","705.00","","","","35.41","35.41","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","710.00","","","","4.66","4.66","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","710.00","","","","39.36","39.36","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","715.00","","","","3.77","3.77","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","715.00","","","","43.47","43.47","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","720.00","","","","3.03","3.03","0","0.000 KGS  ","0.00","2"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","720.00","","","","47.72","47.72","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","725.00","","","","2.41","2.41","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","725.00","","","","52.10","52.10","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","730.00","","","","1.91","1.91","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","730.00","","","","56.58","56.58","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","735.00","","","","1.49","1.49","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","735.00","","","","61.16","61.16","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","740.00","","","","1.16","1.16","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","740.00","","","","65.82","65.82","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","745.00","","","","0.89","0.89","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","745.00","","","","70.55","70.55","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","750.00","","","","0.68","0.68","0","0.000 KGS  ","0.00","1"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","750.00","","","","75.33","75.33","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","755.00","","","","0.52","0.52","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","755.00","","","","80.16","80.16","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","CE","760.00","","","","0.39","0.39","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","22MAR2021","PE","760.00","","","","85.03","85.03","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","FUTCOM","COPPER       ","31MAR2021","-","0.00","676.40","678.80","667.40","671.10","675.25","18340","45850.000 KGS  ","308698.57","3182"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","CE","580.00","","","","99.57","99.57","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","PE","580.00","","","","2.64","2.64","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","CE","585.00","","","","95.08","95.08","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","PE","585.00","","","","3.13","3.13","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","CE","590.00","","","","90.66","90.66","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","PE","590.00","","","","3.69","3.69","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","CE","595.00","","","","86.32","86.32","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","PE","595.00","","","","4.33","4.33","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","CE","600.00","","","","82.05","82.05","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","PE","600.00","","","","5.04","5.04","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","CE","605.00","","","","77.88","77.88","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","PE","605.00","","","","5.85","5.85","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","CE","610.00","","","","73.80","73.80","0","0.000 KGS  ","0.00","0"
"10 Mar 2021","OPTFUT","COPPER       ","21APR2021","PE","610.00","","","","6.74","6.74","0","0.000 KGS  ","0.00","0"
