"Symbol","Expiry Date","Commodity","Ex-Basis Delivery Centre","Price Unit","Previous Closing Price","Opening Price","High Price","Low Price","Closing Price","Quantity Traded Today","Measure","No of Trades","Traded Value in Lacs","Open Interest","LastTradedDate",""
"AGRIDEX","4/21/2021","NCDEX FUTURE INDEX","NA","NA","1485.5","1486.8","1488.85","1485.9","1488.4","NA","NA","NA","NA","NA","NA",""
"AGRIDEX","4/30/2021","NCDEX AGRIDEX","NA","RS/UNIT","1483","0","0","0","1483","0","LOT","0","0","3","4/20/2021",""
"AGRIDEX","5/31/2021","NCDEX AGRIDEX","NA","RS/UNIT","1483","0","0","0","1483","0","LOT","0","0","0","4/16/2021",""
"AGRIDEX","6/30/2021","NCDEX AGRIDEX","NA","RS/UNIT","1483","0","0","0","1483","0","LOT","0","0","0","NOTRADE",""
"AGRIDEX","9/30/2021","NCDEX AGRIDEX","NA","RS/UNIT","1483","0","0","0","1483","0","LOT","0","0","0","NOTRADE",""
"AGRIDEX","12/31/2021","NCDEX AGRIDEX","NA","RS/UNIT","1483","0","0","0","1483","0","LOT","0","0","0","NOTRADE",""
"BAJRA","5/20/2021","BAJRA","JAIPUR","RS/QUINTAL","1405","0","0","0","1405","0","MT","0","0","0","NOTRADE",""
"BAJRA","6/18/2021","BAJRA","JAIPUR","RS/QUINTAL","1409","0","0","0","1409","0","MT","0","0","0","NOTRADE",""
"BAJRA","7/20/2021","BAJRA","JAIPUR","RS/QUINTAL","1413","0","0","0","1413","0","MT","0","0","0","NOTRADE",""
"BAJRA","8/20/2021","BAJRA","JAIPUR","RS/QUINTAL","1418","0","0","0","1418","0","MT","0","0","0","NOTRADE",""
"BARLEYJPR","5/20/2021","BARLEY","JAIPUR","RS/QUINTAL","1990","0","0","0","1990","0","MT","0","0","60","4/20/2021",""
"BARLEYJPR","6/18/2021","BARLEY","JAIPUR","RS/QUINTAL","2090","0","0","0","2090","0","MT","0","0","10","4/20/2021",""
"BARLEYJPR","7/20/2021","BARLEY","JAIPUR","RS/QUINTAL","2090","0","0","0","2090","0","MT","0","0","0","NOTRADE",""
"BARLEYJPR","8/20/2021","BARLEY","JAIPUR","RS/QUINTAL","2090","0","0","0","2090","0","MT","0","0","0","NOTRADE",""
"CASTOR","5/20/2021","CASTORSEEDNEW","DEESA","Rs/Quintal","5218","0","0","0","5218","0","MT","0","0","37570","4/20/2021",""
"CASTOR","6/18/2021","CASTORSEEDNEW","DEESA","Rs/Quintal","5288","0","0","0","5288","0","MT","0","0","4375","4/20/2021",""
"CASTOR","7/20/2021","CASTORSEEDNEW","DEESA","Rs/Quintal","5358","0","0","0","5358","0","MT","0","0","0","NOTRADE",""
"CASTOR","8/20/2021","CASTORSEEDNEW","DEESA","Rs/Quintal","5428","0","0","0","5428","0","MT","0","0","0","NOTRADE",""
"CHANA","5/20/2021","CHANA","BIKANER","RS/QUINTAL","5593","0","0","0","5593","0","MT","0","0","131880","4/20/2021",""
"CHANA","6/18/2021","CHANA","BIKANER","RS/QUINTAL","5637","0","0","0","5637","0","MT","0","0","42820","4/20/2021",""
"CHANA","7/20/2021","CHANA","BIKANER","RS/QUINTAL","5681","0","0","0","5681","0","MT","0","0","0","NOTRADE",""
"CHANA","8/20/2021","CHANA","BIKANER","RS/QUINTAL","5725","0","0","0","5725","0","MT","0","0","0","NOTRADE",""
"CHANA","9/20/2021","CHANA","BIKANER","RS/QUINTAL","5769","0","0","0","5769","0","MT","0","0","0","NOTRADE",""
"COCUDAKL","5/20/2021","COTTONSEEDOILCAKEAKOLA","AKOLA","RS/QUINTAL","2847","0","0","0","2847","0","MT","0","0","117780","4/20/2021",""
"COCUDAKL","6/18/2021","COTTONSEEDOILCAKEAKOLA","AKOLA","RS/QUINTAL","2909","0","0","0","2909","0","MT","0","0","18790","4/20/2021",""
"COCUDAKL","7/20/2021","COTTONSEEDOILCAKEAKOLA","AKOLA","RS/QUINTAL","2949","0","0","0","2949","0","MT","0","0","350","4/20/2021",""
"COCUDAKL","8/20/2021","COTTONSEEDOILCAKEAKOLA","AKOLA","RS/QUINTAL","2989","0","0","0","2989","0","MT","0","0","0","NOTRADE",""
"COTTON","5/20/2021","COTTON29MM","RAJKOT","RS/BALES","21920","0","0","0","21920","0","LOT","0","0","0","NOTRADE",""
"COTTON","6/18/2021","COTTON29MM","RAJKOT","RS/BALES","21980","0","0","0","21980","0","LOT","0","0","0","NOTRADE",""
"COTTON","7/20/2021","COTTON29MM","RAJKOT","RS/BALES","22050","0","0","0","22050","0","LOT","0","0","0","NOTRADE",""
"COTTON","10/20/2021","COTTON29MM","RAJKOT","RS/BALES","22250","0","0","0","22250","0","LOT","0","0","0","NOTRADE",""
"COTTON","11/18/2021","COTTON29MM","RAJKOT","RS/BALES","22320","0","0","0","22320","0","LOT","0","0","0","NOTRADE",""
"COTTON","2/18/2022","COTTON29MM","RAJKOT","RS/BALES","22530","0","0","0","22520","0","LOT","0","0","0","NOTRADE",""
"COTTON","4/20/2022","COTTON29MM","RAJKOT","RS/BALES","22660","0","0","0","22660","0","LOT","0","0","0","NOTRADE",""
"CPO","4/30/2021","CRUDE_PALM_OIL","KANDLA","RS/10KGS","1212.8","0","0","0","1212.7","0","MT","0","0","0","NOTRADE",""
"CPO","5/31/2021","CRUDE_PALM_OIL","KANDLA","RS/10KGS","1216.6","0","0","0","1216.4","0","MT","0","0","0","NOTRADE",""
"CPO","6/30/2021","CRUDE_PALM_OIL","KANDLA","RS/10KGS","1220.2","0","0","0","1220.1","0","MT","0","0","0","NOTRADE",""
"CPO","7/30/2021","CRUDE_PALM_OIL","KANDLA","RS/10KGS","1223.9","0","0","0","1223.7","0","MT","0","0","0","NOTRADE",""
"CPO","8/31/2021","CRUDE_PALM_OIL","KANDLA","RS/10KGS","1227.8","0","0","0","1227.6","0","MT","0","0","0","NOTRADE",""
"DHANIYA","5/20/2021","CORIANDER","KOTA","RS/QUINTAL","6906","0","0","0","6906","0","MT","0","0","9205","4/20/2021",""
"DHANIYA","6/18/2021","CORIANDER","KOTA","RS/QUINTAL","6990","0","0","0","6990","0","MT","0","0","810","4/20/2021",""
"DHANIYA","7/20/2021","CORIANDER","KOTA","RS/QUINTAL","7074","0","0","0","7074","0","MT","0","0","0","NOTRADE",""
"DHANIYA","8/20/2021","CORIANDER","KOTA","RS/QUINTAL","7158","0","0","0","7158","0","MT","0","0","0","NOTRADE",""
"GUARGUM5","5/20/2021","GUARGUM_5MT","JODHPUR","RS/QUINTAL","6305","0","0","0","6305","0","MT","0","0","47660","4/20/2021",""
"GUARGUM5","6/18/2021","GUARGUM_5MT","JODHPUR","RS/QUINTAL","6386","0","0","0","6386","0","MT","0","0","11080","4/20/2021",""
"GUARGUM5","7/20/2021","GUARGUM_5MT","JODHPUR","RS/QUINTAL","6467","0","0","0","6467","0","MT","0","0","0","NOTRADE",""
"GUARGUM5","8/20/2021","GUARGUM_5MT","JODHPUR","RS/QUINTAL","6548","0","0","0","6548","0","MT","0","0","0","NOTRADE",""
